Brand,Model,Type,ColorName,Gender,XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL,Total,maxcontinous
Brand 28,Model 2758,PANT,color 4,WOMEN,0,0,0,52,69,50,31,0,0,0,202,3
Brand 47,Model 3493,PANT,color 70,WOMEN,3,0,0,0,0,0,0,12,34,36,85,10
Brand 6,Model 533,PANT,color 95,WOMEN,0,4,0,0,8,0,0,4,0,20,36,5
Brand 18,Model 1805,TOP,color 98,WOMEN,0,2,0,0,0,1,0,0,0,0,3,2
Brand 7,Model 3194,PANT,color 3,MEN,0,35,0,0,0,0,0,0,5,11,51,3
Brand 18,Model 1884,TOP,color 54,WOMEN,0,22,3,0,0,3,1,0,7,26,62,2
Brand 18,Model 1693,PANT,color 2,WOMEN,0,0,0,24,30,14,0,0,2,0,70,2
Brand 40,Model 3156,PANT,color 5193,WOMEN,0,0,25,117,146,113,79,38,0,0,518,7
Brand 1,Model 482,PANT,color 4,WOMEN,0,1,0,0,1,42,0,0,0,0,44,3
Brand 49,Model 3603,TOP,color 5625,WOMEN,0,0,30,0,0,0,0,0,0,0,30,1
Brand 41,Model 3182,PANT,color 3,WOMEN,-3,0,0,-4,0,8,5,0,0,0,6,2
Brand 50,Model 3621,TOP,color 22,WOMEN,36,42,0,0,0,0,0,49,0,31,158,10
Brand 18,Model 1865,TOP,color 98,UNISEX,4,4,0,0,0,0,0,0,0,29,37,2
Brand 11,Model 4169,TOP,color 95,WOMEN,0,0,0,0,0,0,0,0,4,28,32,5
Brand 7,Model 3198,PANT,color 1573,WOMEN,0,23,110,192,215,177,135,75,0,0,927,6
Brand 47,Model 3495,PANT,color 22,WOMEN,0,0,1,0,0,0,0,0,0,0,1,10
Brand 31,Model 2314,PANT,color 4244,MEN,0,0,72,58,-4,2,0,0,0,0,128,2
Brand 3,Model 51,PANT,color 125,WOMEN,1,0,0,0,0,0,75,10,41,22,149,3
Brand 50,Model 3621,TOP,color 21,WOMEN,75,126,168,36,0,0,0,0,21,23,449,2
Brand 31,Model 2353,PANT,color 40,WOMEN,0,32,16,21,23,6,13,0,0,0,111,10
Brand 40,Model 3340,TOP,color 5195,WOMEN,0,0,29,0,0,0,0,0,0,0,29,1
Brand 31,Model 3594,TOP,color 22,WOMEN,0,0,0,0,0,0,0,0,10,291,301,2
Brand 18,Model 1720,PANT,color 1267,UNISEX,0,31,0,0,0,1,1,16,0,0,49,1
Brand 3,Model 548,PANT,color 116,WOMEN,1,0,0,12,0,0,0,0,0,0,13,1
Brand 47,Model 3498,PANT,color 23,WOMEN,0,19,32,46,8,25,13,0,0,0,143,10
